authors,decision,forum_link,paper_id,pdf_link,title
"Giambattista Parascandolo, Heikki Huttunen, Tuomas Virtanen",Reject,https://openreview.net/forum?id=Sks3zF9eg&noteId=Sks3zF9eg,Sks3zF9eg,https://openreview.net/pdf?id=Sks3zF9eg,Taming the waves: sine as activation function in deep neural networks
"Yotam Hechtlinger, Purvasha Chakravarti, Jining Qin",Reject,https://openreview.net/forum?id=BkIqod5ll&noteId=BkIqod5ll,BkIqod5ll,https://openreview.net/pdf?id=BkIqod5ll,Convolutional Neural Networks Generalization Utilizing the Data Graph Structure
"Xinyun Chen, Bo Li, Yevgeniy Vorobeychik",Reject,https://openreview.net/forum?id=ByToKu9ll&noteId=ByToKu9ll,ByToKu9ll,https://openreview.net/pdf?id=ByToKu9ll,Evaluation of Defensive Methods for DNNs against Multiple Adversarial Evasion Models
"Yilei Xiong, Dahua Lin, Haoying Niu, JIefeng Cheng, Zhenguo Li",Reject,https://openreview.net/forum?id=r1w7Jdqxl&noteId=r1w7Jdqxl,r1w7Jdqxl,https://openreview.net/pdf?id=r1w7Jdqxl,Collaborative Deep Embedding via Dual Networks
"Joost van Amersfoort, Anitha Kannan, Marc'Aurelio Ranzato, Arthur Szlam, Du Tran, Soumith Chintala",Reject,https://openreview.net/forum?id=HkxAAvcxx&noteId=HkxAAvcxx,HkxAAvcxx,https://openreview.net/pdf?id=HkxAAvcxx,Transformation-based Models of Video Sequences
"Mohammad Taha Bahadori, Krzysztof Chalupka, Edward Choi, Robert Chen, Walter F. Stewart, Jimeng Sun",Reject,https://openreview.net/forum?id=ByW2Avqgg&noteId=ByW2Avqgg,ByW2Avqgg,https://openreview.net/pdf?id=ByW2Avqgg,Neural Causal Regularization under the Independence of Mechanisms Assumption
"Hanjun Dai*, Yichen Wang*, Rakshit Trivedi, Le Song",Reject,https://openreview.net/forum?id=HyWWpw5ex&noteId=HyWWpw5ex,HyWWpw5ex,https://openreview.net/pdf?id=HyWWpw5ex,Recurrent Coevolutionary Feature Embedding Processes for Recommendation
"Vivek Ramamurthy, Nigel Duffy",Reject,https://openreview.net/forum?id=By1snw5gl&noteId=By1snw5gl,By1snw5gl,https://openreview.net/pdf?id=By1snw5gl,L-SR1: A Second Order Optimization Method for Deep Learning
"Hsiao-Yu Fish Tung, Katerina Fragkiadaki",Reject,https://openreview.net/forum?id=H13F3Pqll&noteId=H13F3Pqll,H13F3Pqll,https://openreview.net/pdf?id=H13F3Pqll,Inverse Problems in Computer Vision using  Adversarial  Imagination Priors
"Jeff Daily, Abhinav Vishnu, Charles Siegel",Reject,https://openreview.net/forum?id=rkFd2P5gl&noteId=rkFd2P5gl,rkFd2P5gl,https://openreview.net/pdf?id=rkFd2P5gl,Leveraging Asynchronicity in Gradient Descent for Scalable Deep Learning
"Jörn-Henrik Jacobsen, Bert De Brabandere and Arnold W.M. Smeulders",Reject,https://openreview.net/forum?id=H178hw9ex&noteId=H178hw9ex,H178hw9ex,https://openreview.net/pdf?id=H178hw9ex,Dynamic Steerable Frame Networks
"Arvind Neelakantan, Luke Vilnis, Quoc V. Le, Lukasz Kaiser, Karol Kurach, Ilya Sutskever, James Martens",Reject,https://openreview.net/forum?id=rkjZ2Pcxe&noteId=rkjZ2Pcxe,rkjZ2Pcxe,https://openreview.net/pdf?id=rkjZ2Pcxe,Adding Gradient Noise Improves Learning for Very Deep Networks
"Chao-Yuan Wu, Amr Ahmed, Alex Beutel, Alexander J. Smola",Reject,https://openreview.net/forum?id=HksioDcxl&noteId=HksioDcxl,HksioDcxl,https://openreview.net/pdf?id=HksioDcxl,Joint Training of Ratings and Reviews with Recurrent Recommender Networks
"Cheng-Zhi Anna Huang, Tim Cooijmans, Adam Roberts, Aaron Courville, Douglas Eck",Reject,https://openreview.net/forum?id=r1Usiwcex&noteId=r1Usiwcex,r1Usiwcex,https://openreview.net/pdf?id=r1Usiwcex,Counterpoint by Convolution
"Etai Littwin, Lior Wolf",Reject,https://openreview.net/forum?id=Sk8csP5ex&noteId=Sk8csP5ex,Sk8csP5ex,https://openreview.net/pdf?id=Sk8csP5ex,The loss surface of residual networks: Ensembles and the role of batch normalization
"Levent Sagun, Leon Bottou, Yann LeCun",Reject,https://openreview.net/forum?id=B186cP9gx&noteId=B186cP9gx,B186cP9gx,https://openreview.net/pdf?id=B186cP9gx,Eigenvalues of the Hessian in Deep Learning: Singularity and Beyond
"Grzegorz Swirszcz, Wojciech Marian Czarnecki, Razvan Pascanu",Reject,https://openreview.net/forum?id=Syoiqwcxx&noteId=Syoiqwcxx,Syoiqwcxx,https://openreview.net/pdf?id=Syoiqwcxx,Local minima in training of deep networks
"Junhyuk Oh, Satinder Singh, Honglak Lee, Pushmeet Kohli",Reject,https://openreview.net/forum?id=SJttqw5ge&noteId=SJttqw5ge,SJttqw5ge,https://openreview.net/pdf?id=SJttqw5ge,Communicating Hierarchical Neural Controllers for Learning Zero-shot Task Generalization
"Stefan Carlsson, Hossein Azizpour, Ali Razavian",Reject,https://openreview.net/forum?id=HJcLcw9xg&noteId=HJcLcw9xg,HJcLcw9xg,https://openreview.net/pdf?id=HJcLcw9xg,The Preimage of Rectifier Network Activities
"Joji Toyama, Masanori Misono, Masahiro Suzuki, Kotaro Nakayama, Yutaka Matsuo",Reject,https://openreview.net/forum?id=B1G9tvcgx&noteId=B1G9tvcgx,B1G9tvcgx,https://openreview.net/pdf?id=B1G9tvcgx,Neural Machine Translation with Latent Semantic of Image and Text
"Abram L. Friesen, Pedro Domingos",Reject,https://openreview.net/forum?id=ryEGFD9gl&noteId=ryEGFD9gl,ryEGFD9gl,https://openreview.net/pdf?id=ryEGFD9gl,Submodular Sum-product Networks for Scene Understanding
Ron Dekel,Reject,https://openreview.net/forum?id=BJbD_Pqlg&noteId=BJbD_Pqlg,BJbD_Pqlg,https://openreview.net/pdf?id=BJbD_Pqlg,Human perception in computer vision
"Wenyuan Zeng, Wenjie Luo, Sanja Fidler, Raquel Urtasun",Reject,https://openreview.net/forum?id=HJPmdP9le&noteId=HJPmdP9le,HJPmdP9le,https://openreview.net/pdf?id=HJPmdP9le,Efficient Summarization with Read-Again and Copy Mechanism
"Weidi Xie, Alison Noble, Andrew Zisserman",Reject,https://openreview.net/forum?id=rJJRDvcex&noteId=rJJRDvcex,rJJRDvcex,https://openreview.net/pdf?id=rJJRDvcex,Layer Recurrent Neural Networks
"Liwen Zhang, John Winn, Ryota Tomioka",Reject,https://openreview.net/forum?id=ByC7ww9le&noteId=ByC7ww9le,ByC7ww9le,https://openreview.net/pdf?id=ByC7ww9le,Gaussian Attention Model and Its Application to Knowledge Base Embedding and Question Answering
"Jianwen Xie, Yang Lu, Ruiqi Gao, Song-Chun Zhu, Ying Nian Wu",Reject,https://openreview.net/forum?id=B1E7Pwqgl&noteId=B1E7Pwqgl,B1E7Pwqgl,https://openreview.net/pdf?id=B1E7Pwqgl,Cooperative Training of Descriptor and Generator Networks
"Andras Rozsa, Manuel Gunther, Terrance E. Boult",Reject,https://openreview.net/forum?id=SkCILwqex&noteId=SkCILwqex,SkCILwqex,https://openreview.net/pdf?id=SkCILwqex,Exploring LOTS in Deep Neural Networks
"Joao F. Henriques, Andrea Vedaldi",Reject,https://openreview.net/forum?id=BkmM8Dceg&noteId=BkmM8Dceg,BkmM8Dceg,https://openreview.net/pdf?id=BkmM8Dceg,Warped Convolutions: Efficient Invariance to Spatial Transformations
"Dan Hendrycks, Kevin Gimpel",Reject,https://openreview.net/forum?id=r1BJLw9ex&noteId=r1BJLw9ex,r1BJLw9ex,https://openreview.net/pdf?id=r1BJLw9ex,Adjusting for Dropout Variance in Batch Normalization and Weight Initialization
"Stefano Teso, Andrea Passerini",Reject,https://openreview.net/forum?id=H1_QSDqxl&noteId=H1_QSDqxl,H1_QSDqxl,https://openreview.net/pdf?id=H1_QSDqxl,Rule Mining in Feature Space
"Soravit Changpinyo, Mark Sandler, Andrey Zhmoginov",Reject,https://openreview.net/forum?id=SkC_7v5gx&noteId=SkC_7v5gx,SkC_7v5gx,https://openreview.net/pdf?id=SkC_7v5gx,The Power of Sparsity in Convolutional Neural Networks
"Mickaël Chen, Ludovic Denoyer",Reject,https://openreview.net/forum?id=SJgWQPcxl&noteId=SJgWQPcxl,SJgWQPcxl,https://openreview.net/pdf?id=SJgWQPcxl,Multi-view Generative Adversarial Networks
"Shyam Upadhyay, Kai-Wei Chang, James Zou, Matt Taddy, Adam Kalai",Reject,https://openreview.net/forum?id=HJSCGD9ex&noteId=HJSCGD9ex,HJSCGD9ex,https://openreview.net/pdf?id=HJSCGD9ex,Beyond Bilingual: Multi-sense Word Embeddings using Multilingual Context
"Qiang Liu, Yihao Feng",Reject,https://openreview.net/forum?id=Sy4tzwqxe&noteId=Sy4tzwqxe,Sy4tzwqxe,https://openreview.net/pdf?id=Sy4tzwqxe,Two Methods for Wild Variational Inference
"Parker Hill, Babak Zamirai, Shengshuo Lu, Yu-Wei Chao, Michael Laurenzano, Mehrzad Samadi, Marios Papaefthymiou, Scott Mahlke, Thomas Wenisch, Jia Deng, Lingjia Tang, Jason Mars",Reject,https://openreview.net/forum?id=BJ_MGwqlg&noteId=BJ_MGwqlg,BJ_MGwqlg,https://openreview.net/pdf?id=BJ_MGwqlg,Rethinking Numerical Representations for Deep Neural Networks
"Sahil Garg, Irina Rish, Guillermo Cecchi, Aurelie Lozano",Reject,https://openreview.net/forum?id=HyecJGP5ge&noteId=HyecJGP5ge,HyecJGP5ge,https://openreview.net/pdf?id=HyecJGP5ge,NEUROGENESIS-INSPIRED DICTIONARY LEARNING: ONLINE MODEL ADAPTION IN A CHANGING WORLD
"Ashwin K Vijayakumar, Michael Cogswell, Ramprasaath R. Selvaraju, Qing Sun, Stefan Lee, David Crandall, Dhruv Batra",Reject,https://openreview.net/forum?id=HJV1zP5xg&noteId=HJV1zP5xg,HJV1zP5xg,https://openreview.net/pdf?id=HJV1zP5xg,Diverse Beam Search: Decoding Diverse Solutions from Neural Sequence Models
"Adrian Benton, Huda Khayrallah, Biman Gujral, Drew Reisinger, Sheng Zhang, Raman Arora",Reject,https://openreview.net/forum?id=HycUbvcge&noteId=HycUbvcge,HycUbvcge,https://openreview.net/pdf?id=HycUbvcge,Deep Generalized Canonical Correlation Analysis
"Huayu Li, Martin Renqiang Min, Yong Ge, Asim Kadav",Reject,https://openreview.net/forum?id=SkyQWDcex&noteId=SkyQWDcex,SkyQWDcex,https://openreview.net/pdf?id=SkyQWDcex,A Context-aware Attention Network for Interactive Question Answering
"Patrick Putzky, Max Welling",Reject,https://openreview.net/forum?id=HkSOlP9lg&noteId=HkSOlP9lg,HkSOlP9lg,https://openreview.net/pdf?id=HkSOlP9lg,Recurrent Inference Machines for Solving Inverse Problems
"Emily Denton, Sam Gross, Rob Fergus",Reject,https://openreview.net/forum?id=BJ--gPcxl&noteId=BJ--gPcxl,BJ--gPcxl,https://openreview.net/pdf?id=BJ--gPcxl,Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks
"Bofang Li, Tao Liu, Zhe Zhao, Buzhou Tang, Xiaoyong Du",Reject,https://openreview.net/forum?id=Bkfwyw5xg&noteId=Bkfwyw5xg,Bkfwyw5xg,https://openreview.net/pdf?id=Bkfwyw5xg,Investigating Different Context Types and Representations for Learning Word Embeddings
"David Silver, Hado van Hasselt, Matteo Hessel, Tom Schaul, Arthur Guez, Tim Harley, Gabriel Dulac-Arnold, David Reichert, Neil Rabinowitz, Andre Barreto, Thomas Degris",Reject,https://openreview.net/forum?id=BkJsCIcgl&noteId=BkJsCIcgl,BkJsCIcgl,https://openreview.net/pdf?id=BkJsCIcgl,The Predictron: End-To-End Learning and Planning
"Dan Hendrycks, Kevin Gimpel",Reject,https://openreview.net/forum?id=Bk0MRI5lg&noteId=Bk0MRI5lg,Bk0MRI5lg,https://openreview.net/pdf?id=Bk0MRI5lg,Bridging Nonlinearities and Stochastic Regularizers with Gaussian Error Linear Units
"Farkhondeh Kiaee, Christian Gagné, and Mahdieh Abbasi",Reject,https://openreview.net/forum?id=rye9LT8cee&noteId=rye9LT8cee,rye9LT8cee,https://openreview.net/pdf?id=rye9LT8cee,Alternating Direction Method of Multipliers for Sparse Convolutional Neural Networks
"Onkar Bhardwaj, Guojing Cong",Reject,https://openreview.net/forum?id=Bk_zTU5eg&noteId=Bk_zTU5eg,Bk_zTU5eg,https://openreview.net/pdf?id=Bk_zTU5eg,Inefficiency of stochastic gradient descent with larger mini-batches (and more learners)
"Anirudh Goyal, Nan Rosemary Ke, Alex Lamb, Yoshua Bengio",Reject,https://openreview.net/forum?id=rkpdnIqlx&noteId=rkpdnIqlx,rkpdnIqlx,https://openreview.net/pdf?id=rkpdnIqlx,The Variational Walkback Algorithm
Arash Shahriari,Reject,https://openreview.net/forum?id=SJJN38cge&noteId=SJJN38cge,SJJN38cge,https://openreview.net/pdf?id=SJJN38cge,Distributed Transfer Learning for Deep Convolutional Neural Networks by Basic Probability Assignment
Edouard Oyallon,Reject,https://openreview.net/forum?id=ryPx38qge&noteId=ryPx38qge,ryPx38qge,https://openreview.net/pdf?id=ryPx38qge,A hybrid network: Scattering and Convnet
"Armand Joulin, Edouard Grave, Piotr Bojanowski, Matthijs Douze, Herve Jegou, Tomas Mikolov",Reject,https://openreview.net/forum?id=SJc1hL5ee&noteId=SJc1hL5ee,SJc1hL5ee,https://openreview.net/pdf?id=SJc1hL5ee,FastText.zip: Compressing text classification models
"Antonio Vergari, Robert Peharz, Nicola Di Mauro, Floriana Esposito",Reject,https://openreview.net/forum?id=r1Bjj8qge&noteId=r1Bjj8qge,r1Bjj8qge,https://openreview.net/pdf?id=r1Bjj8qge,Encoding and Decoding Representations with Sum- and Max-Product Networks
"Roee Aharoni, Yoav Goldberg",Reject,https://openreview.net/forum?id=HkyYqU9lx&noteId=HkyYqU9lx,HkyYqU9lx,https://openreview.net/pdf?id=HkyYqU9lx,Sequence to Sequence Transduction with Hard Monotonic Attention
"Jayanth Koushik, Hiroaki Hayashi",Reject,https://openreview.net/forum?id=r1WUqIceg&noteId=r1WUqIceg,r1WUqIceg,https://openreview.net/pdf?id=r1WUqIceg,Improving Stochastic Gradient Descent with Feedback
"Thang D. Bui, Sujith Ravi, Vivek Ramavajjala",Reject,https://openreview.net/forum?id=SJg498clg&noteId=SJg498clg,SJg498clg,https://openreview.net/pdf?id=SJg498clg,Neural Graph Machines: Learning Neural Networks Using Graphs
"Caglar Gulcehre, Sarath Chandar, Kyunghyun Cho, Yoshua Bengio",Reject,https://openreview.net/forum?id=BkSmc8qll&noteId=BkSmc8qll,BkSmc8qll,https://openreview.net/pdf?id=BkSmc8qll,Dynamic Neural Turing Machine with Continuous and Discrete Addressing Schemes
"Tom Zahavy, Alessandro Magnani, Abhinandan Krishnan, Shie Mannor",Reject,https://openreview.net/forum?id=rJJ3YU5ge&noteId=rJJ3YU5ge,rJJ3YU5ge,https://openreview.net/pdf?id=rJJ3YU5ge,Is a picture worth a thousand words? A Deep Multi-Modal Fusion Architecture for Product Classification in e-commerce
"Denis Volkhonskiy, Boris Borisenko, Evgeny Burnaev",Reject,https://openreview.net/forum?id=H1hoFU9xe&noteId=H1hoFU9xe,H1hoFU9xe,https://openreview.net/pdf?id=H1hoFU9xe,Generative Adversarial Networks for Image Steganography
"Tri Nguyen, Mir Rosenberg, Xia Song, Jianfeng Gao, Saurabh Tiwary, Rangan Majumder and Li Deng",Reject,https://openreview.net/forum?id=Hk1iOLcle&noteId=Hk1iOLcle,Hk1iOLcle,https://openreview.net/pdf?id=Hk1iOLcle,MS MARCO: A Human-Generated MAchine Reading COmprehension Dataset
"Haoqi Fan, Yu Zhang, Kris M. Kitani",Reject,https://openreview.net/forum?id=S1HcOI5le&noteId=S1HcOI5le,S1HcOI5le,https://openreview.net/pdf?id=S1HcOI5le,OMG: Orthogonal Method of Grouping With Application of K-Shot Learning
"Edward Choi, Mohammad Taha Bahadori, Le Song, Walter F. Stewart, Jimeng Sun",Reject,https://openreview.net/forum?id=SkgewU5ll&noteId=SkgewU5ll,SkgewU5ll,https://openreview.net/pdf?id=SkgewU5ll,GRAM: Graph-based Attention Model for Healthcare Representation Learning
"Gabriel Pereyra, George Tucker, Jan Chorowski, Lukasz Kaiser, Geoffrey Hinton",Reject,https://openreview.net/forum?id=HkCjNI5ex&noteId=HkCjNI5ex,HkCjNI5ex,https://openreview.net/pdf?id=HkCjNI5ex,Regularizing Neural Networks by Penalizing Confident Output Distributions
"Aurelia Léon, Ludovic Denoyer",Reject,https://openreview.net/forum?id=H1eLE8qlx&noteId=H1eLE8qlx,H1eLE8qlx,https://openreview.net/pdf?id=H1eLE8qlx,Options Discovery with Budgeted Reinforcement Learning
"Antonin Raffin, Sebastian Höfer, Rico Jonschkowski, Oliver Brock, Freek Stulp",Reject,https://openreview.net/forum?id=r1aGWUqgg&noteId=r1aGWUqgg,r1aGWUqgg,https://openreview.net/pdf?id=r1aGWUqgg,Unsupervised Learning of State Representations for Multiple Tasks
"Lingpeng Kong, Chris Alberti, Daniel Andor, Ivan Bogatyy, David Weiss",Reject,https://openreview.net/forum?id=BycCx8qex&noteId=BycCx8qex,BycCx8qex,https://openreview.net/pdf?id=BycCx8qex,DRAGNN: A Transition-Based Framework for Dynamically Connected Neural Networks
"Masahiro Suzuki, Kotaro Nakayama, Yutaka Matsuo",Reject,https://openreview.net/forum?id=Hk8rlUqge&noteId=Hk8rlUqge,Hk8rlUqge,https://openreview.net/pdf?id=Hk8rlUqge,Joint Multimodal Learning with Deep Generative Models
"Sarath Chandar, Sungjin Ahn, Hugo Larochelle, Pascal Vincent, Gerald Tesauro, Yoshua Bengio",Reject,https://openreview.net/forum?id=BJ0Ee8cxx&noteId=BJ0Ee8cxx,BJ0Ee8cxx,https://openreview.net/pdf?id=BJ0Ee8cxx,Hierarchical Memory Networks
"Anna C. Gilbert, Yi Zhang, Kibok Lee, Yuting Zhang, Honglak Lee",Reject,https://openreview.net/forum?id=B1mAJI9gl&noteId=B1mAJI9gl,B1mAJI9gl,https://openreview.net/pdf?id=B1mAJI9gl,Towards Understanding the Invertibility of Convolutional Neural Networks
Edwin D. de Jong,Reject,https://openreview.net/forum?id=rJg_1L5gg&noteId=rJg_1L5gg,rJg_1L5gg,https://openreview.net/pdf?id=rJg_1L5gg,Incremental Sequence Learning
"Ting Yao, Yingwei Pan, Yehao Li, Zhaofan Qiu, Tao Mei",Reject,https://openreview.net/forum?id=BkdpaH9ll&noteId=BkdpaH9ll,BkdpaH9ll,https://openreview.net/pdf?id=BkdpaH9ll,Boosting Image Captioning with Attributes
"John Boaz Lee, Xiangnan Kong",Reject,https://openreview.net/forum?id=BkSqjHqxg&noteId=BkSqjHqxg,BkSqjHqxg,https://openreview.net/pdf?id=BkSqjHqxg,Skip-graph: Learning graph embeddings with an encoder-decoder model
"Rudolf Kadlec, Ondřej Bajgar, Peter Hrincar, Jan Kleindienst",Reject,https://openreview.net/forum?id=rJM69B5xx&noteId=rJM69B5xx,rJM69B5xx,https://openreview.net/pdf?id=rJM69B5xx,Finding a Jack-of-All-Trades: An Examination of Semi-supervised Learning in Reading Comprehension
"Sanjay Ganapathy, Swagath Venkataramani, Balaraman Ravindran, Anand Raghunathan",Reject,https://openreview.net/forum?id=BJmCKBqgl&noteId=BJmCKBqgl,BJmCKBqgl,https://www.dropbox.com/s/5ynhm1wy5vu2swq/DyVEDeep-ICLR2017.pdf,DyVEDeep: Dynamic Variable Effort Deep Neural Networks
"Shenjian Zhao, Zhihua Zhang",Reject,https://openreview.net/forum?id=rJq_YBqxx&noteId=rJq_YBqxx,rJq_YBqxx,https://openreview.net/pdf?id=rJq_YBqxx,Deep Character-Level Neural Machine Translation By Learning Morphology
"Randall Balestriero, Herve Glotin",Reject,https://openreview.net/forum?id=SJiFvr9el&noteId=SJiFvr9el,SJiFvr9el,https://openreview.net/pdf?id=SJiFvr9el,Linear Time Complexity Deep Fourier Scattering Network and Extension to Nonlinear Invariants
"Chun-Liang Li, Siamak Ravanbakhsh, Barnabas Poczos",Reject,https://openreview.net/forum?id=H1GEvHcee&noteId=H1GEvHcee,H1GEvHcee,https://openreview.net/pdf?id=H1GEvHcee,Annealing Gaussian into ReLU: a New Sampling Strategy for Leaky-ReLU RBM
"Alan Mosca, George D. Magoulas",Reject,https://openreview.net/forum?id=SJIMPr9eg&noteId=SJIMPr9eg,SJIMPr9eg,https://openreview.net/pdf?id=SJIMPr9eg,Boosted Residual Networks
Asier Mujika,Reject,https://openreview.net/forum?id=rJe-Pr9le&noteId=rJe-Pr9le,rJe-Pr9le,https://openreview.net/pdf?id=rJe-Pr9le,Multi-task learning with deep model based reinforcement learning
"Matthieu Labeau, Alexandre Allauzen",Reject,https://openreview.net/forum?id=SygGlIBcel&noteId=SygGlIBcel,SygGlIBcel,https://openreview.net/pdf?id=SygGlIBcel,Opening the vocabulary of  neural language models with character-level word representations
"Lei Shi, Shikun Feng, Zhifan Zhu",Reject,https://openreview.net/forum?id=Hyanrrqlg&noteId=Hyanrrqlg,Hyanrrqlg,https://openreview.net/pdf?id=Hyanrrqlg,HFH: Homologically Functional Hashing for Compressing Deep Neural Networks
"Nikolas Wolfe, Aditya Sharma, Lukas Drude, Bhiksha Raj",Reject,https://openreview.net/forum?id=BkV4VS9ll&noteId=BkV4VS9ll,BkV4VS9ll,https://openreview.net/pdf?id=BkV4VS9ll,The Incredible Shrinking Neural Network: New Perspectives on Learning Representations Through The Lens of Pruning
Nicolas Le Roux,Reject,https://openreview.net/forum?id=SJ-uGHcee&noteId=SJ-uGHcee,SJ-uGHcee,https://openreview.net/pdf?id=SJ-uGHcee,Efficient iterative policy optimization
"Or Sharir, Ronen Tamari, Nadav Cohen, Amnon Shashua",Reject,https://openreview.net/forum?id=BJluGHcee&noteId=BJluGHcee,BJluGHcee,https://openreview.net/pdf?id=BJluGHcee,Tensorial Mixture Models
"Alfredo Canziani, Adam Paszke, Eugenio Culurciello",Reject,https://openreview.net/forum?id=Bygq-H9eg&noteId=Bygq-H9eg,Bygq-H9eg,https://openreview.net/pdf?id=Bygq-H9eg,An Analysis of Deep Neural Network Models for Practical Applications
"Nadav Bhonker, Shai Rozenberg, Itay Hubara",Reject,https://openreview.net/forum?id=HysBZSqlx&noteId=HysBZSqlx,HysBZSqlx,https://openreview.net/pdf?id=HysBZSqlx,Playing SNES in the Retro Learning Environment
"Zhigang Yuan, Yuting Hu, Yongfeng Huang",Reject,https://openreview.net/forum?id=HJlgm-B9lx&noteId=HJlgm-B9lx,HJlgm-B9lx,https://openreview.net/pdf?id=HJlgm-B9lx,Learning to Understand: Incorporating Local Contexts with Global Attention for Sentiment Classification
"Sergey Bartunov, Dmitry P. Vetrov",Reject,https://openreview.net/forum?id=HyCRyS9gx&noteId=HyCRyS9gx,HyCRyS9gx,https://openreview.net/pdf?id=HyCRyS9gx,Fast Adaptation in Generative Models with Generative Matching Networks
"Yannis M. Assael, Brendan Shillingford, Shimon Whiteson, Nando de Freitas",Reject,https://openreview.net/forum?id=BkjLkSqxg&noteId=BkjLkSqxg,BkjLkSqxg,https://openreview.net/pdf?id=BkjLkSqxg,LipNet: End-to-End Sentence-level Lipreading
"Mohammad Babaeizadeh, Paris Smaragdis, Roy H. Campbell",Reject,https://openreview.net/forum?id=HJIY0E9ge&noteId=HJIY0E9ge,HJIY0E9ge,https://openreview.net/pdf?id=HJIY0E9ge,A Simple yet Effective Method to Prune Dense Layers of Neural Networks
"Hai Wang, Takeshi Onishi, Kevin Gimpel, David McAllester",Reject,https://openreview.net/forum?id=ryWKREqxx&noteId=ryWKREqxx,ryWKREqxx,https://openreview.net/pdf?id=ryWKREqxx,Emergent Predication Structure in Vector Representations of Neural Readers
"Alexander Fonarev, Alexey Grinchuk, Gleb Gusev, Pavel Serdyukov, Ivan Oseledets",Reject,https://openreview.net/forum?id=S13wCE9xx&noteId=S13wCE9xx,S13wCE9xx,https://openreview.net/pdf?id=S13wCE9xx,Riemannian Optimization for Skip-Gram Negative Sampling
"Yan Duan, John Schulman, Xi Chen, Peter L. Bartlett, Ilya Sutskever, Pieter Abbeel",Reject,https://openreview.net/forum?id=HkLXCE9lx&noteId=HkLXCE9lx,HkLXCE9lx,https://openreview.net/pdf?id=HkLXCE9lx,RL^2: Fast Reinforcement Learning via Slow Reinforcement Learning
"Guoqiang Zhong, Yuchen Zheng, Peng Zhang, Mengqi Li, Junyu Dong",Reject,https://openreview.net/forum?id=Hkz6aNqle&noteId=Hkz6aNqle,Hkz6aNqle,https://openreview.net/pdf?id=Hkz6aNqle,Deep Error-Correcting Output Codes
"Yuchen Zheng, Guoqiang Zhong, Junyu Dong",Reject,https://openreview.net/forum?id=BysZhEqee&noteId=BysZhEqee,BysZhEqee,https://openreview.net/pdf?id=BysZhEqee,Marginal Deep Architectures: Deep learning for Small and Middle Scale Applications
"Aryk Anderson, Kyle Shaffer, Artem Yankov, Court Corley, Nathan Hodas",Reject,https://openreview.net/forum?id=ryZqPN5xe&noteId=ryZqPN5xe,ryZqPN5xe,https://openreview.net/pdf?id=ryZqPN5xe,Beyond Fine Tuning: A Modular Approach to Learning on Small Data
"Ramesh Nallapati, Bowen Zhou and Mingbo Ma",Reject,https://openreview.net/forum?id=Hk6a8N5xe&noteId=Hk6a8N5xe,Hk6a8N5xe,https://openreview.net/pdf?id=Hk6a8N5xe,Classify or Select: Neural Architectures for Extractive Document Summarization
"Alberto Delmás Lascorz, Sayeh Sharify, Patrick Judd, Andreas Moshovos",Reject,https://openreview.net/forum?id=Hy-lMNqex&noteId=Hy-lMNqex,Hy-lMNqex,https://openreview.net/pdf?id=Hy-lMNqex,Tartan: Accelerating Fully-Connected and Convolutional Layers in Deep Learning Networks by Exploiting Numerical Precision Variability
"Megan Leszczynski, Jose Moreira",Reject,https://openreview.net/forum?id=HyFkG45gl&noteId=HyFkG45gl,HyFkG45gl,https://openreview.net/pdf?id=HyFkG45gl,Machine Solver for Physics Word Problems
"David Harwath, James R. Glass",Reject,https://openreview.net/forum?id=Bkbc-Vqeg&noteId=Bkbc-Vqeg,Bkbc-Vqeg,https://openreview.net/pdf?id=Bkbc-Vqeg,Learning Word-Like Units from Joint Audio-Visual Analylsis
"Iulian V. Serban, Alexander G. Ororbia II, Joelle Pineau, Aaron Courville",Reject,https://openreview.net/forum?id=BJ9fZNqle&noteId=BJ9fZNqle,BJ9fZNqle,https://openreview.net/pdf?id=BJ9fZNqle,Multi-modal Variational Encoder-Decoders
"Zichao Yang, Phil Blunsom, Chris Dyer, Wang Ling",Reject,https://openreview.net/forum?id=ByG8A7cee&noteId=ByG8A7cee,ByG8A7cee,https://openreview.net/pdf?id=ByG8A7cee,Reference-Aware Language Models
"Nina Narodytska, Shiva Kasiviswanathan",Reject,https://openreview.net/forum?id=SJCscQcge&noteId=SJCscQcge,SJCscQcge,https://openreview.net/pdf?id=SJCscQcge,Simple Black-Box Adversarial Perturbations for Deep Networks
"Prajit Ramachandran, Peter J. Liu, Quoc V. Le",Reject,https://openreview.net/forum?id=H1Gq5Q9el&noteId=H1Gq5Q9el,H1Gq5Q9el,https://openreview.net/pdf?id=H1Gq5Q9el,Unsupervised Pretraining for Sequence to Sequence Learning
"Vincent Roger, Marius Bartcus, Faicel Chamroukhi, Hervé Glotin",Reject,https://openreview.net/forum?id=Hk1l9Xqxe&noteId=Hk1l9Xqxe,Hk1l9Xqxe,https://openreview.net/pdf?id=Hk1l9Xqxe,BIOACOUSTIC SEGMENTATION BY HIERARCHICAL DIRICHLET PROCESS HIDDEN MARKOV MODEL
