authors,decision,forum_link,paper_id,pdf_link,title
"Yang Fan, Fei Tian, Tao Qin, Tie-Yan Liu",Invite to Workshop Track,https://openreview.net/forum?id=SyJNmVqgg&noteId=SyJNmVqgg,SyJNmVqgg,https://openreview.net/pdf?id=SyJNmVqgg,Neural Data Filter for Bootstrapping Stochastic Gradient Descent
"Joshua Achiam, Shankar Sastry",Invite to Workshop Track,https://openreview.net/forum?id=Bk8aOm9xl&noteId=Bk8aOm9xl,Bk8aOm9xl,https://openreview.net/pdf?id=Bk8aOm9xl,Surprise-Based Intrinsic Motivation for Deep Reinforcement Learning
"Shakir Mohamed, Balaji Lakshminarayanan",Invite to Workshop Track,https://openreview.net/forum?id=B16Jem9xe&noteId=B16Jem9xe,B16Jem9xe,https://openreview.net/pdf?id=B16Jem9xe,Learning in Implicit Generative Models
"Yunchen Pu, Martin Renqiang Min, Zhe Gan, Lawrence Carin",Invite to Workshop Track,https://openreview.net/forum?id=ByG4hz5le&noteId=ByG4hz5le,ByG4hz5le,https://openreview.net/pdf?id=ByG4hz5le,Adaptive Feature Abstraction for Translating Video to Language
"Amit Deshpande, Sushrut Karmalkar",Invite to Workshop Track,https://openreview.net/forum?id=SyZprb5xg&noteId=SyZprb5xg,SyZprb5xg,https://openreview.net/pdf?id=SyZprb5xg,On Robust Concepts and Small Neural Nets
"Leon Sixt, Benjamin Wild, Tim Landgraf",Invite to Workshop Track,https://openreview.net/forum?id=BkGakb9lx&noteId=BkGakb9lx,BkGakb9lx,https://openreview.net/pdf?id=BkGakb9lx,RenderGAN: Generating Realistic Labeled Data
"Miltiadis Allamanis, Pankajan Chanthirasegaran, Pushmeet Kohli, Charles Sutton",Invite to Workshop Track,https://openreview.net/forum?id=B1vRTeqxg&noteId=B1vRTeqxg,B1vRTeqxg,https://openreview.net/pdf?id=B1vRTeqxg,Learning Continuous Semantic Representations of Symbolic Expressions
"Elad Hoffer, Nir Ailon",Invite to Workshop Track,https://openreview.net/forum?id=r1R5Z19le&noteId=r1R5Z19le,r1R5Z19le,https://openreview.net/pdf?id=r1R5Z19le,Semi-supervised deep learning by metric embedding
"Tao Wei, Changhu Wang, Chang Wen Chen",Invite to Workshop Track,https://openreview.net/forum?id=BJRIA3Fgg&noteId=BJRIA3Fgg,BJRIA3Fgg,https://openreview.net/pdf?id=BJRIA3Fgg,Modularized Morphing of Neural Networks
"Amit Daniely, Nevena Lazic, Yoram Singer, Kunal Talwar",Invite to Workshop Track,https://openreview.net/forum?id=r1br_2Kge&noteId=r1br_2Kge,r1br_2Kge,https://openreview.net/pdf?id=r1br_2Kge,Short and Deep: Sketching and Neural Networks
"Jacob Andreas, Dan Klein, Sergey Levine",Invite to Workshop Track,https://openreview.net/forum?id=H1kjdOYlx&noteId=H1kjdOYlx,H1kjdOYlx,https://openreview.net/pdf?id=H1kjdOYlx,Modular Multitask Reinforcement Learning with Policy Sketches
"Masatoshi Hidaka, Ken Miura, Tatsuya Harada",Invite to Workshop Track,https://openreview.net/forum?id=r1xUYDYgg&noteId=r1xUYDYgg,r1xUYDYgg,https://openreview.net/pdf?id=r1xUYDYgg,Development of JavaScript-based deep learning platform and application to distributed training
"Jonas Degrave, Michiel Hermans, Joni Dambre, Francis wyffels",Invite to Workshop Track,https://openreview.net/forum?id=SyEiHNKxx&noteId=SyEiHNKxx,SyEiHNKxx,https://openreview.net/pdf?id=SyEiHNKxx,A Differentiable Physics Engine for Deep Learning in Robotics
"Robert Gens, Pedro Domingos",Invite to Workshop Track,https://openreview.net/forum?id=S1Bm3T_lg&noteId=S1Bm3T_lg,S1Bm3T_lg,https://openreview.net/pdf?id=S1Bm3T_lg,Compositional Kernel Machines
"Georg Martius, Christoph H. Lampert",Invite to Workshop Track,https://openreview.net/forum?id=ryUPiRvge&noteId=ryUPiRvge,ryUPiRvge,https://openreview.net/pdf?id=ryUPiRvge,Extrapolation and learning equations
"Alexey Kurakin, Ian J. Goodfellow, Samy Bengio",Invite to Workshop Track,https://openreview.net/forum?id=S1OufnIlx&noteId=S1OufnIlx,S1OufnIlx,https://openreview.net/pdf?id=S1OufnIlx,Adversarial examples in the physical world
Armen Aghajanyan,Invite to Workshop Track,https://openreview.net/forum?id=B1jnyXXJx&noteId=B1jnyXXJx,B1jnyXXJx,https://openreview.net/pdf?id=B1jnyXXJx,Charged Point Normalization: An Efficient Solution to the Saddle Point Problem
"Bailey Kong, Charless C. Fowlkes",Reject,https://openreview.net/forum?id=HkNEuToge&noteId=HkNEuToge,HkNEuToge,https://openreview.net/pdf?id=HkNEuToge,Energy-Based Spherical Sparse Coding
Luis Gonzalo Sanchez Giraldo,Reject,https://openreview.net/forum?id=B1ZXuTolx&noteId=B1ZXuTolx,B1ZXuTolx,https://openreview.net/pdf?id=B1ZXuTolx,Revisiting Denoising Auto-Encoders
